locus,class,tissue,RPKM
AluSg_dup25783,SINE,Cerebellum,2422.187274993394
AluSg_dup25783,SINE,Frontal cortex,1825.0635794710402
AluSg_dup25783,SINE,Spinal cord,3147.861268861418
AluSg_dup25783,SINE,Substantia nigra,2107.578473233342
AluSg_dup25783,SINE,Breast,1710.2347398361867
AluSg_dup25783,SINE,Colon,733.6754629202703
AluSg_dup25783,SINE,ESC,257.7927233362053
AluSg_dup25783,SINE,Esophagus,1311.6937191603633
AluSg_dup25783,SINE,Heart,318.67084239876164
AluSg_dup25783,SINE,Kidney,1760.7727071123836
AluSg_dup25783,SINE,Liver,314.5562209610841
AluSg_dup25783,SINE,Lung,1585.1698353636334
AluSg_dup25783,SINE,mTEC-hi,3365.6583235084263
AluSg_dup25783,SINE,mTEC-lo,5021.76357701516
AluSg_dup25783,SINE,Skeletal muscle,446.2169218034574
AluSg_dup25783,SINE,Ovary,2894.8515509980716
AluSg_dup25783,SINE,Pancreas,1120.466511005912
AluSg_dup25783,SINE,Prostate,2584.9970358466317
AluSg_dup25783,SINE,Skin (unexposed),1075.8519532821797
AluSg_dup25783,SINE,Skin (sun exposed),1156.4227462499655
AluSg_dup25783,SINE,Small intestine,1471.520229675772
AluSg_dup25783,SINE,Spleen,2133.3268469870104
AluSg_dup25783,SINE,Stomach,1507.2194613766492
AluSg_dup25783,SINE,Testis,2018.7859095397787
AluSg_dup25783,SINE,Thyroid,2037.6577098007067
AluSg_dup29113,SINE,Adipose,55.31004316948348
AluSg_dup29113,SINE,Adrenal gland,75.90295322732842
AluSg_dup29113,SINE,Basal ganglia,106.424128431765
AluSg_dup29113,SINE,Cerebellum,113.75376624382511
AluSg_dup29113,SINE,Frontal cortex,9.920401047180233
AluSg_dup29113,SINE,Spinal cord,0
AluSg_dup29113,SINE,Substantia nigra,95.30661505114065
AluSg_dup29113,SINE,Breast,113.760759839174
AluSg_dup29113,SINE,Colon,59.37257528359571
AluSg_dup29113,SINE,ESC,65.85003247941052
AluSg_dup29113,SINE,Esophagus,9.989902939367765
AluSg_dup29113,SINE,Heart,0
AluSg_dup29113,SINE,Kidney,0
AluSg_dup29113,SINE,Liver,57.468183449858195
AluSg_dup29113,SINE,Lung,27.235424620029125
AluSg_dup29113,SINE,mTEC-hi,119.08970068716343
AluSg_dup29113,SINE,mTEC-lo,44.93012454814101
AluSg_dup29113,SINE,Skeletal muscle,6.532444006615311
AluSg_dup29113,SINE,Ovary,44.526452312642185
AluSg_dup29113,SINE,Pancreas,76.44952028906602
AluSg_dup29113,SINE,Prostate,313.6429273499946
AluSg_dup29113,SINE,Skin (unexposed),120.144853743256
AluSg_dup29113,SINE,Skin (sun exposed),264.66426664728914
AluSg_dup29113,SINE,Small intestine,103.11670559423887
AluSg_dup29113,SINE,Spleen,107.42410716704984
AluSg_dup29113,SINE,Stomach,66.83637939210297
AluSg_dup29113,SINE,Testis,22.144714265479998
AluSg_dup29113,SINE,Thyroid,83.18901550027157
AluSg_dup35937,SINE,Adipose,461.7494524721704
AluSg_dup35937,SINE,Adrenal gland,345.5615458317185
AluSg_dup35937,SINE,Basal ganglia,521.9389099261505
AluSg_dup35937,SINE,Cerebellum,1297.1817358439523
AluSg_dup35937,SINE,Frontal cortex,517.2620573683646
AluSg_dup35937,SINE,Spinal cord,146.83913326730357
AluSg_dup35937,SINE,Substantia nigra,275.7234976692181
AluSg_dup35937,SINE,Breast,501.3002380978816
AluSg_dup35937,SINE,Colon,119.90684351737359
AluSg_dup35937,SINE,ESC,91.5796380459815
AluSg_dup35937,SINE,Esophagus,177.63556286876693
AluSg_dup35937,SINE,Heart,258.88288165565444
AluSg_dup35937,SINE,Kidney,426.7522644666109
AluSg_dup35937,SINE,Liver,389.45806260687147
AluSg_dup35937,SINE,Lung,417.4230746850655
AluSg_dup35937,SINE,mTEC-hi,1025.030472799926
AluSg_dup35937,SINE,mTEC-lo,1327.122142498577
AluSg_dup35937,SINE,Skeletal muscle,87.89979975574089
AluSg_dup35937,SINE,Ovary,1081.1064243918315
AluSg_dup35937,SINE,Pancreas,355.975240666579
AluSg_dup35937,SINE,Prostate,988.807127277188
AluSg_dup35937,SINE,Skin (unexposed),198.12231890220133
AluSg_dup35937,SINE,Skin (sun exposed),447.1302549011644
AluSg_dup35937,SINE,Small intestine,256.06933213008614
AluSg_dup35937,SINE,Spleen,387.808977078521
AluSg_dup35937,SINE,Stomach,338.70900482227194
AluSg_dup35937,SINE,Testis,773.0114138514729
AluSg_dup35937,SINE,Thyroid,1258.972172015607
AluSp_dup45760,SINE,Adipose,86.71124189091829
AluSp_dup45760,SINE,Adrenal gland,163.65400619184237
AluSp_dup45760,SINE,Basal ganglia,1142.9965748903244
AluSp_dup45760,SINE,Cerebellum,1282.3776707765653
AluSp_dup45760,SINE,Frontal cortex,947.0275191891938
AluSp_dup45760,SINE,Spinal cord,523.1439471638989
