gene,pt214_mTEC.hi_new_Aligned.out.bam,pt214_mTEC.lo_new_Aligned.out.bam,pt221_mTEC.hi_new_Aligned.out.bam,pt221_mTEC.lo_new_Aligned.out.bam,pt226_mTEC.hi_new_Aligned.out.bam,pt226_mTEC.lo_new_Aligned.out.bam
ENSG00000023734.11,12140,9614,6295,6046,6053,5059
ENSG00000023839.12,213,224,70,57,102,48
ENSG00000023892.11,2858,4530,1772,2012,1595,2279
ENSG00000023902.14,2682,2028,1894,2036,1358,1138
ENSG00000023909.10,5224,4332,1930,1300,2410,2322
ENSG00000024048.10,11753,12269,4843,5344,4119,5375
ENSG00000024422.12,6777,11078,2196,5649,2306,4609
ENSG00000024526.17,1218,296,510,144,772,150
ENSG00000024862.17,1957,1913,1132,1004,975,1021
ENSG00000025039.15,5969,4695,2137,2166,1803,1671
ENSG00000025156.13,2260,2524,1279,1549,1167,1252
ENSG00000025293.17,7658,7162,3245,3752,2835,3424
ENSG00000025423.11,172,120,87,67,90,57
ENSG00000025434.19,3682,2572,2304,1166,2132,1458
ENSG00000025708.14,33665,17814,24919,9581,28125,11524
ENSG00000025770.19,7470,7450,5996,4538,6289,4454
ENSG00000025772.8,4999,4165,2648,2470,2490,2189
ENSG00000025796.14,11570,13450,5535,6709,4953,6828
ENSG00000025800.14,17853,12418,9228,6057,8400,5790
ENSG00000026025.16,70930,17856,55078,16946,54721,18437
ENSG00000026036.22,3900,3045,3656,1918,3574,1978
ENSG00000026103.22,37860,22240,14132,7781,15235,11321
ENSG00000026297.15,1864,3316,1055,1695,1105,2695
ENSG00000026508.19,18950,4408,9848,2692,10222,3004
ENSG00000026559.14,122,226,27,66,44,124
ENSG00000026652.15,2301,2924,737,1550,660,1263
ENSG00000026751.17,853,29,321,10,301,9
ENSG00000026950.17,8105,6816,5853,4446,4192,3493
ENSG00000027001.10,2675,2477,1332,826,1323,814
ENSG00000027075.15,7798,4529,3196,1821,3479,2532
ENSG00000027644.5,3626,1725,3781,1830,3092,1165
ENSG00000027697.14,34584,25370,15193,13299,13026,13995
ENSG00000027847.14,1623,1946,1028,946,979,959
ENSG00000027869.11,521,376,202,161,284,188
ENSG00000028116.17,4189,3260,2172,1499,2210,1624
ENSG00000028137.19,3981,754,3478,554,2618,353
ENSG00000028203.18,11780,9713,6530,5797,5887,5666
ENSG00000028277.21,819,1545,362,701,474,832
ENSG00000028310.18,5475,4610,3568,2992,2773,2268
ENSG00000028528.15,27732,26436,10103,12196,10765,13516
ENSG00000028839.10,2480,2200,1672,1363,1485,1274
ENSG00000029153.14,19848,9416,7317,3065,8049,5170
ENSG00000029363.17,45576,54583,15593,18706,13117,20012
ENSG00000029364.12,9008,7484,5159,4360,4272,3513
ENSG00000029534.20,1431,2664,820,831,1017,462
ENSG00000029559.7,698,0,211,0,331,1
ENSG00000029639.11,1017,935,690,525,639,527
ENSG00000029725.17,12527,10670,6686,4977,5254,4541
ENSG00000029993.15,1622,2381,1413,2209,946,1112
ENSG00000030066.13,11637,13192,3997,5480,4033,5269
ENSG00000030110.13,1638,1152,1031,846,1180,786
ENSG00000030304.14,219,541,614,356,100,409
ENSG00000030419.16,9659,9052,3501,2757,2848,3994
ENSG00000030582.18,15216,12844,11067,7696,10103,6274
ENSG00000031003.10,9428,10392,4171,4791,3745,5287
ENSG00000031081.11,7830,1913,3108,495,3308,674
ENSG00000031691.7,711,670,460,489,407,571
ENSG00000031698.13,9512,9682,7152,6027,6459,5303
ENSG00000031823.14,4629,5781,4369,4124,3842,3619
ENSG00000032219.19,6657,7225,2932,3011,2472,3319
ENSG00000032389.12,1710,1429,1434,1113,1255,851
ENSG00000032444.16,5154,6384,3939,3788,3107,2632
