refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name,tau,Adipose_Subcutaneous,Adrenal_Gland,Brain_Cerebellum,Brain_Frontal_Cortex_(BA9),Brain_Spinal_cord_(cervical_c1),Breast_Mammary_Tissue,Colon_Transverse,Esophagus_Mucosa,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Muscle_Skeletal,Ovary,Pancreas,Prostate,Skin_Not_Sun_Exposed_(Suprapubic),Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid
NM_002638,5266,ENSG00000124102,PI3,0.831377628415268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003008,6407,ENSG00000124157,SEMG2,0.974012423453894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NM_002251,3787,ENSG00000124134,KCNS1,0.9385434844172,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002091,2922,ENSG00000134443,GRP,0.849889547435639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,NA,ENSG00000227922,SPTLC1P5,0.972506819061824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,171483,ENSG00000177138,FAM9B,0.914487626518757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000224309,ANKRD30BP2,0.973519396912715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_052906,114794,ENSG00000166897,ELFN2,0.875209640708507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000226774,HIKESHIP1,0.815079400410225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
,93492,ENSG00000132958,TPTE2,0.909081526586352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_174901,171484,ENSG00000187268,FAM9C,0.901243277449727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,NA,ENSG00000175302,ANKRD30BP1,0.993610220038521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_005986,6656,ENSG00000182968,SOX1,0.904866101672823,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,122046,ENSG00000175664,TEX26,0.951598280806519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_174951,171482,ENSG00000183304,FAM9A,0.927113570676099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001001888,425054,ENSG00000205642,VCX3B,0.956597350091406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001010859,150297,ENSG00000205856,C22orf42,0.953855442316478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000228291,ARL4AP3,0.991076098016511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_024803,79861,ENSG00000178462,TUBAL3,0.891640476169364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_013452,26609,ENSG00000182583,VCX,0.964538804003177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_005314,2925,ENSG00000126010,GRPR,0.88356518568815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,5475,ENSG00000086717,PPEF1,0.820645898725221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_006953,7380,ENSG00000100373,UPK3A,0.9241590054903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,391267,ENSG00000215559,ANKRD20A11P,0.824598357618122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_153346,139105,ENSG00000177324,BEND2,0.95582256941105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000203616,RHOT1P2,0.902448351212638,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003007,6406,ENSG00000124233,SEMG1,0.985752092979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,149708,ENSG00000175121,WFDC5,0.957257706192968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_172006,280664,ENSG00000182931,WFDC10B,0.876023566617644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001257964,284257,ENSG00000228075,BOD1L2,0.99732944628702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,55586,ENSG00000100253,MIOX,0.918346482199446,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000219870,BRK1P1,0.93299501846812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
NM_153270,257240,ENSG00000185915,KLHL34,0.934573067743238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM_014332,23676,ENSG00000091482,SMPX,0.833365744898988,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,ENSG00000225418,AKR1C5P,0.950412280679947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_053049,114131,ENSG00000178473,UCN3,0.894221602102886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001034172,147407,ENSG00000141437,SLC25A52,0.970949075795864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_080552,140679,ENSG00000101438,SLC32A1,0.910225315019822,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000215452,ZNF663P,0.870796815447584,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
