Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1436140_at,16.6303716,18.5174074,-0.898093952396381,0.059809507217834,Fam116b,69440
1422159_at,28.9671496,25.3986986,-1.14049739540592,0.022399751409301,Ppef2,19023
1454353_at,13.6948532,15.2486202,-0.898104419965815,0.071275594422196,4833420D23Rik,73766
1438364_x_at,2179.96298,2427.22596,-0.898129393770986,0.47972578518553,Ang4,219033
1428566_at,48.4615066,42.4988784,-1.14030083673926,0.027777637200241,Hspbap1,66667
1418381_at,70.589129,78.5944258,-0.898144216736551,0.291850372269672,Zfp148,22661
1445395_at,54.8369434,61.0552588,-0.898152664942925,0.425933916939229,,
1459791_at,16.4318142,18.2950578,-0.898155905252182,0.124946488374957,Dnajc1,13418
1432987_at,12.7692732,14.2167945,-0.898182301221277,0.113191328379903,,
1452474_a_at,179.838246,200.222548,-0.898191776083081,0.155601787974795,Art3,109979
1428257_s_at,1734.70652,1931.26888,-0.89822113221231,0.133209384639137,Dynlrb1,67068
1449156_at,325.894734,285.801966,-1.14028163823058,0.049442021904486,Ly9,17085
1446401_at,12.3703514,13.7715258,-0.898255689286077,0.344594950063158,,
1438948_x_at,1188.34194,1042.239428,-1.14018133269086,0.002793664923838,Tspo,12257
1418952_at,25.2751488,22.1677632,-1.14017587484875,0.039105200929787,Txlnb,378431
1443027_at,197.519042,219.878474,-0.898310045575448,0.469189140650956,,
1417969_at,71.7768516,79.901032,-0.898321959095597,0.173870805212691,Fbxo31,76454
1427500_at,16.2272734,18.0634286,-0.898349574675984,0.155456590072817,Spcs1,69019
1435209_at,84.186461,73.845243,-1.14003905437754,0.04781199335941,BC057079,230393
1425434_a_at,20.2285788,22.5171526,-0.898363090544583,0.08337508475962,Msr1,20288
1443984_at,9.5383405,10.6172752,-0.898379322408446,0.139976509299438,Lin9,72568
1419111_at,374.616468,328.60938,-1.14000540094139,0.023783328147527,Ing2,69260
1433981_s_at,257.570786,286.698738,-0.898402231543831,0.071028074180056,Kat5,81601
1415729_at,631.844892,554.259834,-1.1399795786032,0.025659628527415,Pdpk1,18607
1453159_at,54.6764446,60.8591096,-0.898410196260906,0.350266022957572,Efhc1,71877
1426206_at,36.4919744,40.6181634,-0.898415175512342,0.164777969616138,Robo4,74144
1453094_at,85.393242,95.048338,-0.898419097028293,0.299474182513819,Foxn3,71375
1438966_x_at,11.3086906,12.5871399,-0.898432105295024,0.499700236661384,Fmod,14264
1449652_at,13.025493,14.4978156,-0.898445211291003,0.305692137520224,Nudcd1,67429
1453257_at,594.48584,661.668514,-0.898464756024344,0.19362495138615,Agpat5,52123
1447750_x_at,261.758656,229.617196,-1.13997845353011,0.034795782165817,Pih1d1,68845
1450672_a_at,746.751346,831.124438,-0.898483201621368,0.055196621508679,Atrip///Trex1,22040///235610
1446394_at,9.36727558,10.4255596,-0.898491394169384,0.193870366938349,Oprk1,18387
1459115_at,11.0794493,9.7197523,-1.13989008752826,0.020519625309976,,
1449230_at,20.8188134,23.1704002,-0.898509012373468,0.1356020580587,Idua,15932
1428073_a_at,766.137208,672.154898,-1.1398223984972,0.02660449937156,Nup88,19069
