Ensembl,EntrezGene,ProbeSetID,WTaverage,KOaverage,FoldChange,StudentTTEST,GeneSymbol
ENSMUSG00000028001,14161,1424279_at,64.741937,25.3676284,-2.5521477995160202,5.52837315003e-4,Fga
ENSMUSG00000031886,234673,1427137_at,42.1403284,16.5496562,-2.546296303122,5.25432607801e-4,Ces2e
ENSMUSG00000054630,22238,1419622_at,33.379904,13.116663,-2.54484726793697,5.09882052417564e-6,Ugt2b5
ENSMUSG00000039137,73750,1436485_s_at,63.2581336,24.9189644,-2.5385538734507,0.005864340955237,Whrn
ENSMUSG00000078650,14377,1417880_at,73.9400472,29.2188916,-2.5305561967313,2.08960674832483e-5,G6pc
ENSMUSG00000041380,15560,1435513_at,33.3918802,13.2047974,-2.52876883972487,0.023179175583338,Htr2c
ENSMUSG00000032373,76459,1428485_at,130.397968,51.6253322,-2.52585237601628,1.4174203397e-4,Car12
ENSMUSG00000020838,15567,1417150_at,786.3261,311.328454,-2.52571228198756,0.016891792346253,Slc6a4
ENSMUSG00000028415,20731,1427119_at,391.486514,155.322538,-2.52047461392886,0.005809448106607,Spink4
ENSMUSG00000068587,232714,1456777_at,265.237086,105.2603844,-2.51981870968733,3.0357507830054e-5,Mgam
ENSMUSG00000080712,382522,1449482_at,109.0859506,43.2974508,-2.51945434625911,0.049983199558429,Hist3h2ba///Hist3h2bb-ps
ENSMUSG00000056895,78303,1449482_at,109.0859506,43.2974508,-2.51945434625911,0.049983199558429,Hist3h2ba///Hist3h2bb-ps
ENSMUSG00000023122,69083,1449409_at,383.65374,152.630536,-2.51361064472708,2.10236076993964e-5,Sult1c2
ENSMUSG00000048022,319832,1455963_at,71.8142342,28.5825672,-2.512518686565,3.11101658837321e-5,Tmem229a
ENSMUSG00000028088,14263,1450332_s_at,297.769354,118.600122,-2.51070023351241,1.38493084647e-4,Fmo5
ENSMUSG00000026888,50915,1417673_at,137.4332032,54.8643546,-2.50496345399459,3.3075683916e-4,Grb14
ENSMUSG00000021999,56373,1418771_a_at,74.0424222,29.605675,-2.5009536921553,0.027385034954634,Cpb2
ENSMUSG00000057836,22445,1420357_s_at,123.606335,49.604992,-2.49181241678257,0.033021040160734,Xlr3a///Xlr3b///Xlr3c
ENSMUSG00000058147,22446,1420357_s_at,123.606335,49.604992,-2.49181241678257,0.033021040160734,Xlr3a///Xlr3b///Xlr3c
ENSMUSG00000073125,574437,1420357_s_at,123.606335,49.604992,-2.49181241678257,0.033021040160734,Xlr3a///Xlr3b///Xlr3c
NA,100040852,1452731_x_at,2304.0802,925.794752,-2.48875919313917,0.003368517787998,Gm10340///Gm10406///Gm10409///Gm2897///Gm3002///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100041530,1452731_x_at,2304.0802,925.794752,-2.48875919313917,0.003368517787998,Gm10340///Gm10406///Gm10409///Gm2897///Gm3002///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,231570,1436117_at,313.410226,126.3023458,-2.48142838531507,2.04421146977487e-7,A830010M20Rik
ENSMUSG00000038400,65112,1422706_at,194.85017,78.6123498,-2.4786203503104,2.38014043398252e-5,Pmepa1
ENSMUSG00000094584,76002,1431521_at,40.9780602,16.5347702,-2.478296323707,1.80267980268e-4,Ms4a18
ENSMUSG00000053965,242202,1458341_x_at,111.573675,45.071476,-2.4754830527405,5.70108115554624e-5,Pde5a
ENSMUSG00000046997,211949,1451418_a_at,71.678978,29.0032956,-2.47140804233295,0.003576496052536,Spsb4
ENSMUSG00000053765,243262,1442389_at,315.494726,127.698613,-2.47061983359208,9.40213980341e-4,Oas1f
ENSMUSG00000055540,13840,1421527_at,39.5261516,16.0695958,-2.4596854887912,0.018782762018105,Epha6
ENSMUSG00000061462,380698,1443632_at,46.278145,18.8632736,-2.45334643293304,8.15937846174982e-6,Obscn
ENSMUSG00000029919,54486,1421492_at,75.873717,31.0232354,-2.44570613031547,9.88379557828e-4,Hpgds
ENSMUSG00000026614,226781,1438751_at,27.8544484,11.4120521,-2.44079225681067,1.63490369739e-4,Slc30a10
ENSMUSG00000074115,20208,1419075_s_at,2184.2063,896.719186,-2.43577513908574,3.46515742391915e-5,Saa1
ENSMUSG00000038567,13081,1418866_at,65.520896,26.9056376,-2.43521067867204,0.039481690607389,Cyp24a1
ENSMUSG00000075033,385658,1436941_at,1217.00604,500.580088,-2.4311914700051,2.31187083959009e-7,Fam55c
ENSMUSG00000019489,21948,1449926_at,1002.4755,412.99051,-2.42735722910437,2.56206291402669e-5,Cd70
ENSMUSG00000040136,20927,1455765_a_at,510.834402,211.328708,-2.41725039079877,1.0405174392118e-6,Abcc8
ENSMUSG00000050558,246313,1440564_at,645.503786,267.173324,-2.41604878936192,7.15669824791753e-5,Prokr2
ENSMUSG00000032849,239273,1443870_at,265.81788,110.160015,-2.41301601129956,2.29044795682324e-5,Abcc4
ENSMUSG00000029189,231238,1452227_at,870.581346,360.832204,-2.41270412216311,1.00015855716795e-6,Sel1l3
ENSMUSG00000023247,14915,1416905_at,154.956764,64.263441,-2.41127399324913,6.09311895476e-4,Guca2a
ENSMUSG00000099170,70487,1430396_at,195.793544,81.277224,-2.40895953828344,3.29207966162171e-5,5730403I07Rik
ENSMUSG00000041616,230899,1456062_at,275.925386,114.606912,-2.40758067017808,4.75688546492447e-5,Nppa
NA,100039528,1430786_at,141.721492,58.9298924,-2.4049168635509,2.47764590306e-4,1110002E22Rik
ENSMUSG00000018459,114644,1438377_x_at,73.4630196,30.5679382,-2.40327035207105,1.19370588813347e-5,Slc13a3
ENSMUSG00000059654,19692,1415905_at,646.22478,268.904708,-2.40317391542286,2.75178929899e-4,Reg1
ENSMUSG00000027843,19260,1417995_at,553.492154,230.5198,-2.40106122771233,3.45931179551218e-6,Ptpn22
ENSMUSG00000027530,75497,1431788_at,99.811069,41.8695768,-2.38385664791338,7.69340230135e-4,Fabp12
ENSMUSG00000028307,230163,1451194_at,849.94874,358.83587,-2.36862814188559,6.64822008828038e-6,Aldob
ENSMUSG00000055022,12805,1452981_at,189.519758,80.012675,-2.36862169649996,5.63337439555947e-5,Cntn1
ENSMUSG00000030909,72074,1453042_at,230.844774,97.5004,-2.36762899434259,0.00172417479242,Anks4b
ENSMUSG00000028076,12479,1449131_s_at,624.058406,263.779808,-2.36583084479309,1.04994095283049e-6,Cd1d1
ENSMUSG00000044005,216456,1435245_at,126.997574,53.7154542,-2.36426510566488,6.64331709841779e-5,Gls2
ENSMUSG00000013584,19378,1422789_at,94.0660068,39.8393604,-2.36113245432525,4.08341171832844e-5,Aldh1a2
ENSMUSG00000013643,70163,1451441_at,1696.45586,718.740658,-2.36031709228838,0.00759274333271,2210415F13Rik
NA,19270,1429691_at,30.496865,12.9216782,-2.36013190608632,0.04312583508651,Ptprg
ENSMUSG00000019936,13516,1421114_a_at,447.146168,189.91616,-2.35443981175694,1.42967962386e-4,Epyc
ENSMUSG00000063133,16623,1420701_at,287.634642,122.365937,-2.35061038269171,1.37355941921e-4,Klk1b1
ENSMUSG00000022371,12818,1427168_a_at,835.473998,357.488428,-2.33706585321973,7.47536964677201e-7,Col14a1
ENSMUSG00000000223,13497,1440452_at,147.869948,63.3750828,-2.33325056894442,2.39411168926e-4,Drp2
ENSMUSG00000037578,329064,1457105_at,171.613434,73.5588108,-2.33300990232974,4.45665006579e-4,Pkd2l1
ENSMUSG00000004837,71520,1429387_at,781.179892,335.707682,-2.32696460011302,1.20014147334688e-5,Grap
ENSMUSG00000032591,15235,1418267_at,146.614386,63.156241,-2.32145523037066,8.32517753915491e-5,Mst1
ENSMUSG00000000308,12716,1432418_a_at,905.23512,390.333472,-2.31913270302374,1.43172749901e-4,Ckmt1
ENSMUSG00000026475,19734,1426037_a_at,370.586148,160.539066,-2.30838609712604,1.23218704467e-4,Rgs16
ENSMUSG00000066515,18050,1427380_at,131.429067,56.9365216,-2.30834380651733,2.09881770438835e-5,Klk1b3
ENSMUSG00000067684,18249,1453644_at,40.8209436,17.684933,-2.30823286692689,6.92701494664231e-5,Obp1a
ENSMUSG00000027199,67092,1423569_at,281.91146,122.1733584,-2.30747082417929,7.7137239596e-4,Gatm
ENSMUSG00000033831,110135,1428079_at,267.840642,116.369666,-2.30163625287023,1.48861998945e-4,Fgb
ENSMUSG00000022408,213956,1424930_s_at,73.508984,31.9806852,-2.29854312189659,8.51867140764432e-6,Fam83f
ENSMUSG00000071203,17951,1421525_a_at,213.82062,93.046727,-2.29799184661272,1.70872406531e-4,Naip5
ENSMUSG00000004038,14864,1427474_s_at,790.941412,344.278732,-2.29738679297796,3.45782651699953e-6,Gstm3
ENSMUSG00000026193,14268,1437218_at,75.8141578,33.0719654,-2.29239952579292,0.003998433711591,Fn1
ENSMUSG00000040134,54150,1448723_at,55.685121,24.3444504,-2.28738460244722,0.014798845116457,Rdh7
ENSMUSG00000058579,13706,1448281_a_at,61.3521246,26.925082,-2.27862350057095,4.36441679035e-4,Cela2a
ENSMUSG00000022219,12684,1418976_s_at,162.575556,71.4451154,-2.27553073558336,2.74035132535399e-5,Cideb
ENSMUSG00000054932,11576,1416645_a_at,255.851762,112.5615806,-2.27299368608902,0.00390443983949,Afp
ENSMUSG00000032034,16521,1441590_at,68.3586904,30.084325,-2.27223613626033,2.37360893061e-4,Kcnj5
NA,68157,1423072_at,1495.52434,662.434438,-2.25761864753777,6.39039114893e-4,6720475J19Rik
ENSMUSG00000022864,67102,1436125_at,226.885068,100.60444,-2.25521923286885,0.001667695426888,D16Ertd472e
ENSMUSG00000071178,20701,1418282_x_at,140.022382,62.1887246,-2.25157185487609,2.22094107467e-4,Serpina1b
ENSMUSG00000020609,238055,1455593_at,150.5111668,67.1176606,-2.24249721242519,0.023515246775267,Apob
ENSMUSG00000028003,79235,1444487_at,104.652313,46.6955242,-2.24116368309235,0.00887655611379,Lrat
ENSMUSG00000000730,54427,1425035_s_at,536.071516,239.527504,-2.23803741552786,8.23126039355368e-7,Dnmt3l
ENSMUSG00000037145,78354,1425233_at,3544.43838,1584.73184,-2.23661713012594,6.28119046756312e-5,2210407C18Rik
ENSMUSG00000034918,268663,1440218_at,207.317692,92.7467352,-2.23530986350019,2.52595214794e-4,Cdhr2
