Ensembl,gene_symbol,Aire_pos_TEC,Aire_ko_TEC,fold_change,FDR_BH
ENSMUSG00000079186,Gzmc,155.85072924,3.04343654047,0.0195278941287,1.45530500078e-26
ENSMUSG00000084174,Sycn,93.594305772,1.82992657984,0.0195516870898,1.42427410592e-20
ENSMUSG00000024679,Ms4a6d,214.837511325,4.23762322329,0.0197247826841,3.58383838147e-33
ENSMUSG00000085584,Rgag1,31.208854261,0.616416619216,0.0197513376833,1.38428474645e-9
ENSMUSG00000027261,Hao1,60.4341384077,1.19418668282,0.0197601341606,4.37615755293e-16
ENSMUSG00000070524,Fcrlb,121.913823557,2.42701992125,0.0199076679775,1.15095237613e-24
ENSMUSG00000064080,Fbln2,671.836293591,13.4065794003,0.0199551282481,5.86993224217e-79
ENSMUSG00000066189,Cacng3,30.742530659,0.616416619216,0.020050939399,1.11419788684e-5
ENSMUSG00000010086,Rnf112,150.662031765,3.02411326266,0.0200721656759,9.02969910049e-23
ENSMUSG00000047171,Helt,30.6887689742,0.616416619216,0.0200860653529,5.48739583929e-7
ENSMUSG00000006574,Slc4a1,330.061519401,6.66464314454,0.020192124052,1.22891516223e-21
ENSMUSG00000022935,Grik1,29.3113028424,0.59709334141,0.020370754061,3.42163985875e-5
ENSMUSG00000058914,C1qtnf3,295.046809966,6.06754980313,0.0205647022716,3.44940427312e-33
ENSMUSG00000000157,Itgb2l,118.477520953,2.44634319906,0.020648163292,5.76114252796e-19
ENSMUSG00000031710,Ucp1,87.3439330502,1.81060330204,0.0207295829121,6.71268501213e-21
ENSMUSG00000029829,Tmem213,28.7643367133,0.59709334141,0.0207581126365,7.51602628793e-9
ENSMUSG00000031111,Igsf1,318.56868752,6.64531986673,0.0208599279435,1.77347882362e-28
ENSMUSG00000047014,Catsperb,29.273669663,0.616416619216,0.0210570326956,6.03041244195e-7
ENSMUSG00000040966,Slc22a2,29.2682934946,0.616416619216,0.0210609005725,4.14012737666e-9
ENSMUSG00000039492,Ccdc27,29.2629173261,0.616416619216,0.0210647698706,5.38329043534e-9
ENSMUSG00000026807,Ak8,231.219378301,4.87336312031,0.0210767936326,3.22056981404e-38
ENSMUSG00000071890,4921528O07Rik,84.8832869971,1.79128002423,0.02110285885,8.44618928429e-20
ENSMUSG00000060565,Gm5591,58.1025203981,1.23283323843,0.0212182402757,3.78002861629e-15
ENSMUSG00000062713,Sim2,57.1053591725,1.21350996063,0.0212503691109,2.24103236852e-12
ENSMUSG00000048126,Col6a3,1538.53064387,32.9000318815,0.0213840601827,2.71887422645e-67
ENSMUSG00000039337,Tex19.2,57.0354689823,1.23283323843,0.0216152029681,1.27889920755e-13
ENSMUSG00000022534,Mefv,27.3062280543,0.59709334141,0.0218665624642,1.61038633547e-8
ENSMUSG00000032079,Apoa5,112.693471833,2.46566647686,0.0218794082458,5.58762227406e-18
ENSMUSG00000025347,Mettl7b,56.1727119686,1.23283323843,0.0219471909977,4.71295283492e-10
ENSMUSG00000079654,Prrt4,111.385895891,2.44634319906,0.0219627734687,7.04654424394e-24
ENSMUSG00000027559,Car3,380.358787386,8.39795333535,0.022079030678,7.6191549438e-54
ENSMUSG00000045052,Prlhr,27.8531941834,0.616416619216,0.0221309130708,2.7592018881e-8
ENSMUSG00000044265,E030002O03Rik,26.915170811,0.59709334141,0.022184267215,7.42137013805e-8
ENSMUSG00000079034,Gm8300,26.8990423056,0.59709334141,0.0221975687694,1.01301669931e-8
ENSMUSG00000027484,Bpifa5,439.453092841,9.76604951843,0.0222231898638,1.36235098608e-56
ENSMUSG00000024292,Cyp4f14,298.825784298,6.64531986673,0.0222381073385,2.02892090266e-31
ENSMUSG00000047861,Foxi1,378.317482474,8.47524644657,0.022402471044,1.76371027164e-41
ENSMUSG00000024863,Mbl2,513.600184657,11.518682987,0.0224273342011,4.01834652475e-28
ENSMUSG00000043298,C030030A07Rik,54.6823462987,1.23283323843,0.0225453610146,1.49578053549e-14
ENSMUSG00000068697,Myoz1,52.8062995541,1.19418668282,0.0226144738962,3.89751537558e-6
ENSMUSG00000040856,Dlk1,1332.38802282,30.3570722935,0.0227839576562,3.5074485489e-54
ENSMUSG00000073602,Serpinb3b,26.8990423056,0.616416619216,0.0229159318095,2.4376818787e-8
ENSMUSG00000061577,Gpr114,184.717213154,4.23762322329,0.0229411387869,6.72723786307e-19
ENSMUSG00000027919,Lce1g,26.8667852947,0.616416619216,0.0229434453156,1.37033492633e-5
ENSMUSG00000068536,Doxl2,160.28419307,3.67917643749,0.0229540815412,4.05343174276e-29
ENSMUSG00000047222,Ear11,157.968703566,3.64052988188,0.0230458932668,2.55594418147e-18
ENSMUSG00000009487,Otog,834.247810268,19.3388662588,0.0231812011021,7.52047369038e-27
ENSMUSG00000033860,Fgg,1300.38910784,30.2604559044,0.0232703086499,4.37503159004e-37
ENSMUSG00000069722,Krtap3-3,26.3897093558,0.616416619216,0.023358219331,3.10511639186e-8
ENSMUSG00000073209,Klf14,26.3789570189,0.616416619216,0.0233677403839,1.03504359851e-8
ENSMUSG00000029915,Clec5a,103.591395815,2.42701992125,0.0234287790233,2.39659032814e-19
ENSMUSG00000043880,Olfr323,25.90188108,0.616416619216,0.0237981410428,1.06823334256e-7
ENSMUSG00000020264,Slc36a2,255.70616007,6.08687308094,0.0238041706905,3.36068001363e-25
ENSMUSG00000041616,Nppa,456.258274071,10.9022663678,0.0238949450068,4.99122167009e-25
ENSMUSG00000050493,Fam167b,24.9853623816,0.59709334141,0.0238977258881,1.16618333423e-4
ENSMUSG00000037451,Slc22a20,103.162705392,2.46566647686,0.0239007543229,2.96643495054e-13
ENSMUSG00000075524,4930407I10Rik,24.9799862131,0.59709334141,0.0239028691335,1.83705400671e-4
ENSMUSG00000085079,Khdc1b,227.98199393,5.45113318391,0.0239103671739,8.75319216269e-39
ENSMUSG00000029372,Ppbp,177.19689767,4.25694650109,0.0240238207162,2.0567145113e-30
ENSMUSG00000027434,Nkx2-2,25.4516859835,0.616416619216,0.0242190878677,9.77716491449e-8
ENSMUSG00000025002,Cyp2c55,25.4248051411,0.616416619216,0.0242446939434,1.53950124899e-7
ENSMUSG00000022304,Dpys,122.385523328,3.00478998485,0.0245518416162,7.58929712023e-24
ENSMUSG00000042417,Ccno,516.505649638,12.7515162255,0.0246880479128,1.37319276917e-12
ENSMUSG00000021966,Prss52,24.9369768653,0.616416619216,0.0247189794716,6.86707491988e-6
ENSMUSG00000037334,H2-M1,97.3894086091,2.40769664345,0.0247223664034,1.83888689056e-17
